New Orleans,395,105,265,25,107,220,48.6,13,15,86.7,107,969
Atlanta,379,108,239,32,75,178,42.1,8,14,57.1,104,847
Arizona,368,97,229,42,87,214,40.7,5,10,50,104,889
Dallas,358,142,191,25,80,189,42.3,8,9,88.9,105,879
Indianapolis,351,93,220,38,87,202,43.1,8,18,44.4,102,883
New England,351,109,203,39,104,227,45.8,8,12,66.7,93,819
Green Bay,349,91,222,36,98,210,46.7,7,17,41.2,100,827
Washington,345,89,226,30,90,199,45.2,7,14,50,110,909
Cincinnati,341,100,204,37,82,210,39,7,9,77.8,88,726
LA Chargers,340,90,214,36,85,200,42.5,6,12,50,107,780
Tampa Bay,340,80,220,40,94,214,43.9,4,9,44.4,109,926
Pittsburgh,336,97,210,29,83,202,41.1,9,16,56.3,113,1068
Oakland,334,98,198,38,83,218,38.1,6,13,46.2,147,1251
Philadelphia,333,114,192,27,85,224,37.9,13,27,48.1,113,945
Detroit,329,76,217,36,83,195,42.6,7,10,70,100,861
Buffalo,328,146,155,27,86,210,41,8,15,53.3,112,960
Chicago,324,93,212,19,70,185,37.8,4,14,28.6,110,967
Tennessee,322,115,175,32,100,217,46.1,4,11,36.4,110,1012
Jacksonville,321,75,207,39,78,221,35.3,7,16,43.8,129,1178
Carolina,318,99,194,25,83,223,37.2,11,17,64.7,98,850
Baltimore,316,79,205,32,86,233,36.9,8,19,42.1,125,1111
Seattle,313,85,203,25,79,207,38.2,4,11,36.4,117,970
Kansas City,305,86,197,22,81,213,38,10,14,71.4,109,848
Houston,305,102,173,30,87,233,37.3,9,23,39.1,87,868
Minnesota,303,66,209,28,81,213,38,8,18,44.4,103,882
Cleveland,296,83,181,32,77,212,36.3,13,18,72.2,95,736
NY Jets,291,97,166,28,76,210,36.2,8,19,42.1,93,837
Denver,290,76,181,33,75,219,34.2,9,17,52.9,119,985
NY Giants,289,73,190,26,78,219,35.6,9,19,47.4,88,857
San Francisco,287,116,152,19,78,222,35.1,10,19,52.6,99,831
Miami,278,90,167,21,69,188,36.7,0,4,0,125,1141
LA Rams,245,68,151,26,67,213,31.5,8,20,40,126,1091
