Baltimore,38,39,97.4,57,27,27,100
Philadelphia,35,41,85.4,55,30,31,96.8
Houston,35,41,85.4,53,22,25,88
Atlanta,34,37,91.9,59,56,57,98.2
Washington,34,42,81,53,36,39,92.3
Seattle,33,37,89.2,53,29,35,82.9
Detroit,31,36,86.1,58,31,33,93.9
Kansas City,31,35,88.6,54,36,39,92.3
Carolina,30,38,78.9,54,31,34,91.2
Denver,29,34,85.3,55,32,33,97
Oakland,29,35,82.9,56,37,39,94.9
Cincinnati,28,35,80,47,29,35,82.9
New Orleans,28,34,82.4,57,49,50,98
Dallas,27,32,84.4,56,46,46,100
Indianapolis,27,31,87.1,54,44,44,100
Minnesota,27,31,87.1,51,26,33,78.8
New England,27,32,84.4,53,46,49,93.9
NY Jets,27,31,87.1,51,24,26,92.3
Jacksonville,27,34,79.4,56,29,32,90.6
Green Bay,26,30,86.7,53,44,47,93.6
LA Chargers,26,32,81.3,47,42,46,91.3
Pittsburgh,24,28,85.7,49,37,37,100
Tennessee,22,24,91.7,53,39,41,95.1
Tampa Bay,22,31,71,43,32,34,94.1
Cleveland,21,27,77.8,51,23,25,92
NY Giants,21,22,95.5,48,31,35,88.6
Arizona,21,28,75,60,43,47,91.5
Buffalo,19,25,76,54,40,45,88.9
LA Rams,19,22,86.4,54,23,23,100
Chicago,18,23,78.3,54,31,32,96.9
San Francisco,18,21,85.7,53,33,34,97.1
Miami,16,21,76.2,55,41,42,97.6
