New Orleans,674,472,70,5074,7.8,98,38,15,27,184,102.5,317
Washington,607,407,67.1,4758,8.2,80,25,12,23,190,97.4,297
Atlanta,537,374,69.6,4725,9.2,76,38,7,37,235,116.8,295
New England,550,368,66.9,4308,8.1,79,32,2,24,148,109.5,269
Indianapolis,584,370,63.4,4202,7.7,64,32,15,44,289,94.5,263
Pittsburgh,596,381,63.9,4202,7.3,72,33,15,21,175,93.9,263
Green Bay,620,403,65,4199,7.2,66,40,8,35,246,102.3,262
LA Chargers,580,349,60.2,4198,7.6,59,33,21,36,188,87.6,262
Arizona,646,383,59.3,4136,6.9,80,28,17,41,289,83.5,259
Seattle,567,368,64.9,4124,7.8,59,23,12,42,298,93.4,258
Detroit,594,388,65.3,4111,7.3,73,24,10,37,216,93.3,257
Baltimore,679,439,64.7,4100,6.4,95,20,16,33,243,82.6,256
Oakland,596,379,63.6,4051,6.9,75,29,7,18,86,95.3,253
Chicago,559,347,62.1,3969,7.4,64,19,19,28,170,81.8,248
Cincinnati,563,364,64.7,3942,7.5,86,18,8,41,264,91.8,246
Tampa Bay,578,355,61.4,3926,7.2,45,29,18,35,239,87,245
NY Giants,598,377,63,3879,6.7,75,26,16,22,148,86,242
Minnesota,588,414,70.4,3836,7,71,20,5,38,283,97.7,240
Kansas City,546,365,66.9,3740,7.2,80,19,8,32,174,93.2,234
Jacksonville,626,369,58.9,3728,6.3,51,24,16,34,197,79.5,233
Denver,570,339,59.5,3685,6.9,76,20,11,40,229,83.9,230
Carolina,563,306,54.4,3685,7,88,21,19,36,277,75.1,230
Dallas,483,325,67.3,3631,7.9,83,25,6,28,168,103,227
Philadelphia,609,380,62.4,3585,6.2,73,16,14,33,213,79.2,224
Tennessee,504,307,60.9,3541,7.4,60,29,11,28,179,93.7,221
Miami,477,316,66.2,3500,7.8,74,27,15,30,216,95.5,219
NY Jets,550,311,56.5,3466,6.6,69,16,25,35,179,67.6,217
Cleveland,567,338,59.6,3264,6.5,58,15,14,66,429,77.4,204
Houston,583,347,59.5,3176,5.9,53,15,16,32,242,73.3,199
Buffalo,474,286,60.3,3036,6.9,84,17,7,46,214,86.7,190
LA Rams,536,312,58.2,2951,6.2,66,14,20,49,362,69.5,184
San Francisco,491,287,58.5,2911,6.4,75,21,10,47,255,83.4,182
