Denver	306	3200	10.5	80	13	200	5	3
Houston	319	3424	10.7	86	20	214	2	0
Jacksonville	345	3627	10.5	64	20	226.7	1	0
Minnesota	332	3637	11	67	22	227.3	2	1
Arizona	344	3739	10.9	71	21	233.7	2	1
Chicago	342	3828	11.2	60	22	239.3	3	1
Buffalo	306	3835	12.5	66	19	239.7	2	1
Seattle	331	3884	11.7	80	16	242.8	2	1
LA Rams	378	3928	10.4	64	32	245.5	5	4
Baltimore	369	3947	10.7	79	28	246.7	1	1
Cincinnati	374	3985	10.7	74	22	249.1	3	1
San Francisco	322	4013	12.5	78	30	250.8	3	2
New England	368	4033	11	66	21	252.1	4	4
Philadelphia	333	4039	12.1	80	25	252.4	4	2
NY Jets	347	4077	11.7	84	30	254.8	2	1
Miami	368	4101	11.1	77	30	256.3	6	4
Kansas City	350	4120	11.8	76	23	257.5	6	4
Detroit	399	4136	10.4	64	33	258.5	1	0
Pittsburgh	381	4141	10.9	95	20	258.8	4	3
Cleveland	347	4173	12	63	36	260.8	1	0
LA Chargers	364	4217	11.6	64	21	263.6	3	3
Tampa Bay	347	4246	12.2	68	24	265.4	7	4
NY Giants	369	4260	11.5	71	15	266.3	5	2
Oakland	328	4267	13	98	27	266.7	5	1
Dallas	425	4376	10.3	67	25	273.5	6	2
Washington	387	4383	11.3	54	22	273.9	2	2
Indianapolis	378	4411	11.7	49	27	275.7	6	3
Atlanta	422	4495	10.7	58	31	280.9	6	0
Carolina	409	4561	11.2	87	27	285.1	4	1
Tennessee	388	4585	11.8	58	25	286.6	1	1
New Orleans	378	4593	12.2	66	27	287.1	7	6
Green Bay	370	4603	12.4	73	32	287.7	3	1
