Denver	89	4352	76	48.9	45.3	0	42	12	26	37	316	8.5
LA Rams	95	4311	66	45.4	41.1	1	30	7	19	49	369	7.5
NY Giants	89	4112	67	46.2	43.1	0	31	5	17	45	275	6.1
Baltimore	90	4089	63	45.4	42.2	1	31	8	21	32	246	7.7
Houston	84	3861	71	46	40.9	0	34	5	29	39	427	10.9
Jacksonville	81	3774	61	46.6	43.3	1	33	3	24	40	220	5.5
New England	80	3639	76	45.5	41.6	0	27	2	18	45	309	6.9
Arizona	80	3633	73	45.4	42.5	0	23	2	24	38	230	6.1
Cleveland	74	3473	72	46.9	44.2	0	32	8	13	30	200	6.7
San Francisco	78	3429	64	44	41.2	0	34	7	36	23	216	9.4
Seattle	78	3400	66	43.6	39.9	1	34	6	28	30	249	8.3
Tennessee	72	3360	72	46.7	43.4	0	22	9	22	30	236	7.9
Cincinnati	74	3333	68	45	41.7	0	35	3	19	38	246	6.5
Carolina	71	3323	75	46.8	44	0	25	3	24	29	202	7
Oakland	72	3309	69	46	40.7	0	20	5	13	41	380	9.3
Minnesota	72	3289	64	45.7	40.8	0	26	4	22	34	354	10.4
NY Jets	72	3185	78	44.2	42.2	0	31	0	28	27	149	5.5
Atlanta	66	3176	64	48.1	44	0	29	5	21	24	273	11.4
Tampa Bay	70	3109	67	44.4	40.6	0	31	1	22	29	266	9.2
Miami	73	3095	62	42.4	37.4	1	28	0	18	36	328	9.1
Kansas City	69	3075	62	44.6	36	0	15	6	8	40	592	14.8
Chicago	67	3049	74	45.5	42.3	0	24	3	27	27	215	8
Dallas	70	3049	65	43.6	40.7	0	26	5	15	28	198	7.1
Pittsburgh	70	3039	58	43.4	40.8	0	23	7	19	22	185	8.4
Buffalo	69	3024	62	43.8	38.7	1	19	7	17	28	314	11.2
Indianapolis	63	2994	78	47.5	44.6	0	26	8	22	22	182	8.3
LA Chargers	62	2874	68	46.4	42.9	0	22	3	12	32	212	6.6
Philadelphia	61	2873	66	47.1	42.4	1	18	4	13	19	246	12.9
Washington	61	2797	68	45.9	40.2	0	18	4	16	29	344	11.9
Detroit	61	2684	59	44	40	0	27	5	16	20	246	12.3
New Orleans	56	2619	68	46.8	42.8	0	22	6	17	23	221	9.6
Green Bay	59	2525	67	42.8	38.8	0	24	1	21	26	235	9
