Dallas	340	1336	3.9	36	9	83.5	8	3
Tennessee	356	1413	4	68	10	88.3	5	2
New England	368	1417	3.9	45	6	88.6	11	2
NY Giants	397	1417	3.6	33	10	88.6	5	3
Baltimore	384	1430	3.7	85	10	89.4	10	5
Carolina	376	1465	3.9	75	11	91.6	5	3
Seattle	441	1487	3.4	34	16	92.9	8	6
Green Bay	376	1515	4	75	11	94.7	1	1
Arizona	424	1518	3.6	49	16	94.9	11	4
LA Chargers	410	1567	3.8	40	20	97.9	6	3
NY Jets	428	1581	3.7	58	11	98.8	12	2
Houston	397	1595	4	41	13	99.7	8	4
Pittsburgh	369	1600	4.3	67	15	100	5	3
New Orleans	396	1626	4.1	75	19	101.6	5	4
Philadelphia	391	1652	4.2	72	10	103.3	2	1
LA Rams	424	1660	3.9	61	12	103.8	3	1
Atlanta	370	1672	4.5	55	15	104.5	6	4
Detroit	389	1701	4.4	67	8	106.3	5	4
Jacksonville	446	1703	3.8	75	17	106.4	7	3
Minnesota	404	1711	4.2	69	9	106.9	12	7
Cincinnati	412	1812	4.4	60	12	113.3	4	0
Tampa Bay	427	1875	4.4	42	15	117.2	4	2
Oakland	421	1881	4.5	64	18	117.6	11	4
Washington	423	1916	4.5	35	19	119.8	10	4
Indianapolis	409	1926	4.7	57	12	120.4	4	1
Kansas City	437	1938	4.4	44	10	121.1	8	4
Chicago	445	1950	4.4	61	18	121.9	3	0
Denver	482	2085	4.3	70	15	130.3	8	3
Buffalo	468	2130	4.6	57	21	133.1	10	4
Miami	464	2247	4.8	60	12	140.4	7	3
Cleveland	498	2283	4.6	74	18	142.7	3	0
San Francisco	548	2654	4.8	75	25	165.9	8	4
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
